Buchungsdatum,Betrag,Währung,Buchungstext KURZ (nur grobe Info)
02.01.2017,1407.6,EUR,Kontoübertrag
02.01.2017,3447.72,EUR,Kontoübertrag
02.01.2017,-8.12,EUR,Diverse (Bürobedarf und Kleinteile)
02.01.2017,-150,EUR,Miete
02.01.2017,-720,EUR,"Gebühren Abgaben Stadt Graz (Wahlvorschlag, Infostände, Plakatständer)"
02.01.2017,-184.45,EUR,Server
02.01.2017,-4.99,EUR,Domains
03.01.2017,-27,EUR,Heizung
03.01.2017,-20,EUR,Internet
04.01.2017,-405.77,EUR,Werbung (zB. Facebook)
09.01.2017,-35.88,EUR,Domains
09.01.2017,-719.71,EUR,"div Werbematerial (Buttonmaschiene, Armbänder, Zelt, Feuerzeuge)"
09.01.2017,-4800,EUR,"Gebühren Abgaben Stadt Graz (Wahlvorschlag, Infostände, Plakatständer)"
09.01.2017,-1545.75,EUR,Plakatständer (Hardware)
09.01.2017,-918.86,EUR,"Druck (Druckkosten, Flyer Plakate)"
10.01.2017,-22,EUR,Strom
17.01.2017,0,EUR,Guthaben auf Girokonten und Spareinlagen sind gemäß Einlagensicherungs- und Anlegerentschädigungsgesetz erstattungsfähig. Nähere Informationen dazu entnehmen Sie bitte dem 'Informationsbogen für den Einleger' - abholbereit in jeder Filiale bzw. abrufbar unter: www.erstebank.at/einlagensicherung und www.sparkasse.at/einlagensicherung.
23.01.2017,10.71,EUR,Strom
25.01.2017,-136.22,EUR,"Druck (Druckkosten, Flyer Plakate)"
25.01.2017,-560,EUR,Rechtsanwalt
25.01.2017,-1688.88,EUR,"div Werbematerial (Buttonmaschiene, Armbänder, Zelt, Feuerzeuge)"
27.01.2017,-336,EUR,Lohnverrechnung
27.01.2017,-15.48,EUR,Domains
30.01.2017,-210.62,EUR,"Druck (Druckkosten, Flyer Plakate)"
30.01.2017,-37.68,EUR,Diverse (Bürobedarf und Kleinteile)
30.01.2017,-25,EUR,Diverse (Bürobedarf und Kleinteile)
30.01.2017,-399,EUR,Lohn
30.01.2017,-5.19,EUR,GKK
30.01.2017,-14.35,EUR,"Druck (Druckkosten, Flyer Plakate)"
